Date,Portfolio Value,Reference Values
2007-03-30,999999.9999999998,1000000.0
2007-04-06,1024892.4382311215,1016940.7589294926
2007-04-13,1030520.3824423178,1022831.8511029033
2007-04-20,1042073.6377368569,1044033.5926376823
2007-04-27,1053202.5727827898,1054036.068753482
2007-05-04,1056884.3840214927,1059483.523512783
2007-05-11,1041889.1605089285,1059927.160926893
2007-05-18,1060485.6412995134,1066958.298083074
2007-05-25,1058181.7650238175,1060881.4972246871
2007-06-01,1088369.1732997587,1080308.6891030273
2007-06-08,1062711.4669368062,1058751.005922044
2007-06-15,1069842.285674529,1075552.4833378044
2007-06-22,1053573.5045300785,1056816.5404535423
2007-06-29,1066427.6897071833,1055016.19792419
2007-07-06,1106752.7308388983,1075650.4962548753
2007-07-13,1122083.3032767924,1085229.9692548958
2007-07-20,1103606.5626819632,1069351.8766894336
2007-07-27,1052608.495204369,1007356.1273548896
2007-08-03,1021365.920056991,986953.9648804247
2007-08-10,1035726.5479287343,998679.4049068367
2007-08-17,1012124.4734067207,986855.9519633539
2007-08-24,1062938.910168865,1012999.6079483323
2007-08-31,1073356.967255993,1006747.4155541346
2007-09-07,1043329.4792158435,990337.9898066572
2007-09-14,1054970.2936553732,1005416.5033118054
2007-09-21,1065113.2575803902,1031730.392258012
2007-09-28,1083162.2995619217,1030770.8973856352
2007-10-05,1121098.4310931636,1058812.9088170365
2007-10-12,1117357.1543027102,1057435.5694034633
2007-10-19,1065326.005763974,1011379.8155293736
2007-10-26,1092710.060177879,1033303.7575057268
2007-11-02,1086602.2135070437,1016079.2769741873
2007-11-09,1038708.0935506183,982677.5065513906
2007-11-16,1057916.9139285092,979200.6272826701
2007-11-23,1033820.8148283798,963833.2336008924
2007-11-30,1070911.6402328347,991364.5461486091
2007-12-07,1087684.1841826017,1011214.7411427282
2007-12-14,1034912.7285792085,977446.7119245618
2007-12-21,1068613.5203921413,988083.69271403
2007-12-28,1057366.5940221415,979484.348884717
2008-01-04,1004098.726257984,925855.8075232658
2008-01-11,973499.3163432115,915244.619606711
2008-01-18,924359.2193909235,870829.2924499109
2008-01-25,937808.241713557,890823.927532345
2008-02-01,1000618.1987196159,950699.502713411
2008-02-08,969491.9487624698,905969.5025070679
2008-02-15,965796.0875952451,915466.4383137658
2008-02-22,961581.3207586874,919113.5505437144
2008-02-29,956183.9823933966,898654.64374884
2008-03-07,926334.6570860094,871138.8069248712
2008-03-14,922231.6545981154,866836.5557229233
2008-03-21,950022.2526855877,890137.8371128495
2008-03-28,957746.2957701752,880996.8429523559
2008-04-04,1015784.3884090072,927083.5482739415
2008-04-11,967110.6718023984,897457.8544456601
2008-04-18,996642.1073010317,937968.1406433781
2008-04-25,1004693.9006270906,942373.5633369795
2008-05-02,1027196.2769460978,956038.6274064757
2008-05-09,1015496.9691261047,940124.4248189348
2008-05-16,1060345.2560194237,972422.2602810399
2008-05-23,997412.1099407369,935424.9633741211
2008-05-30,1027619.0505928826,956833.0478922072
2008-06-06,1025573.3410927441,928646.5963724912
2008-06-13,1011546.5414782477,924705.4453913303
2008-06-20,1002194.9071024474,896451.9324020394
2008-06-27,937399.2218230747,864288.2198790837
2008-07-04,901647.7334394575,843535.2743329969
2008-07-11,901179.9123592903,823896.5808967673
2008-07-18,946370.5451546216,851634.2364277911
2008-07-25,988117.7224443993,846759.3834471666
2008-08-01,1003823.3105071485,852294.533974373
2008-08-08,1102867.3495653716,883215.030022905
