,0
0,2008-06-27
1,2008-09-26
2,2008-12-26
3,2009-03-27
4,2009-06-26
5,2009-09-25
6,2009-12-25
7,2010-03-26
8,2010-06-25
9,2010-09-24
10,2010-12-24
11,2011-03-25
12,2011-06-24
13,2011-09-23
14,2011-12-23
15,2012-03-23
16,2012-06-22
17,2012-09-21
18,2012-12-21
19,2013-03-22
20,2013-06-21
21,2013-09-20
22,2013-12-20
23,2014-03-21
24,2014-06-20
25,2014-09-19
26,2014-12-19
27,2015-03-20
28,2015-06-19
29,2015-09-18
30,2015-12-18
31,2016-03-18
32,2016-06-17
33,2016-09-16
34,2016-12-16
35,2017-03-17
36,2017-06-16
37,2017-09-15
38,2017-12-15
39,2018-03-16
40,2018-06-15
41,2018-08-10
