,0
0,2007-06-29
1,2007-09-28
2,2007-12-28
3,2008-03-28
4,2008-06-27
5,2008-09-26
6,2008-12-26
7,2009-03-27
8,2009-06-26
9,2009-09-25
10,2009-12-25
11,2010-03-26
12,2010-06-25
13,2010-09-24
14,2010-12-24
15,2011-03-25
16,2011-06-24
17,2011-09-23
18,2011-12-23
19,2012-03-23
20,2012-06-22
21,2012-09-21
22,2012-12-21
23,2013-03-22
24,2013-06-21
25,2013-09-20
26,2013-12-20
27,2014-03-21
28,2014-06-20
29,2014-09-19
30,2014-12-19
31,2015-03-20
32,2015-06-19
33,2015-09-18
34,2015-12-18
35,2016-03-18
36,2016-06-17
37,2016-09-16
38,2016-12-16
39,2017-03-17
40,2017-06-16
41,2017-09-15
42,2017-12-15
43,2018-03-16
44,2018-06-15
45,2018-08-10
