,0
0,2006-04-14
1,2006-07-14
2,2006-10-13
3,2007-01-12
4,2007-04-13
5,2007-07-13
6,2007-10-12
7,2008-01-11
8,2008-04-11
9,2008-07-11
10,2008-10-10
11,2009-01-09
12,2009-04-10
13,2009-07-10
14,2009-10-09
15,2010-01-08
16,2010-04-09
17,2010-07-09
18,2010-10-08
19,2011-01-07
20,2011-04-08
21,2011-07-08
22,2011-10-07
23,2012-01-06
24,2012-04-06
25,2012-07-06
26,2012-10-05
27,2013-01-04
28,2013-04-05
29,2013-07-05
30,2013-10-04
31,2014-01-03
32,2014-04-04
33,2014-07-04
34,2014-10-03
35,2015-01-02
36,2015-04-03
37,2015-07-03
38,2015-10-02
39,2016-01-01
40,2016-04-01
41,2016-07-01
42,2016-09-30
43,2016-12-30
44,2017-03-31
45,2017-06-30
46,2017-09-29
47,2017-12-29
48,2018-03-30
49,2018-06-29
50,2018-08-10
